Tweets,Reformed_Tweets,sentiment_scores,compound_score,sentiment
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",awww bummer shoula got avi carr thir ay,"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,upset cant upate facebook texting might cry result school toay also blah,"{'neg': 0.441, 'neu': 0.559, 'pos': 0.0, 'compound': -0.7269}",-0.7269,Negative
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,ive many time ball manage save 50 rest go bouns,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939,Positive
my whole body feels itchy and like its on fire ,whole boy feel itchy like fire,"{'neg': 0.45, 'neu': 0.3, 'pos': 0.25, 'compound': -0.25}",-0.25,Negative
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",behaving im cant see,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@Kwesidei not the whole crew ,whole crew,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Need a hug ,nee hug,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",0.4767,Positive
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",hey long time see yes rain bit bit lol im fine thanks,"{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.8481}",0.8481,Positive
@Tatiana_K nope they didn't have it ,nope int,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@twittera que me muera ? ,que muera,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
spring break in plain city... it's snowing ,spring break plain city snowing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I just re-pierced my ears ,repierce ear,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,coulnt bear watch thought ua loss embarrassing,"{'neg': 0.495, 'neu': 0.505, 'pos': 0.0, 'compound': -0.5994}",-0.5994,Negative
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",count ik either never talk anymore,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",woulve first int gun really though zac snyer oucheclown,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,wish got watch miss premiere,"{'neg': 0.219, 'neu': 0.411, 'pos': 0.37, 'compound': 0.2732}",0.2732,Positive
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,hollis eath scene hurt severely watch film wry irectors cut,"{'neg': 0.548, 'neu': 0.452, 'pos': 0.0, 'compound': -0.8176}",-0.8176,Negative
about to file taxes ,file tax,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,ahh ive always wante see rent love sountrack,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,Positive
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,oh ear rinking forgotten table rink,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative
@alydesigns i was out most of the day so didn't get much done ,ay int get much one,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",one frien calle aske meet mi valley toaybut ive time sigh,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.0258}",0.0258,Positive
@angry_barista I baked you a cake but I ated it ,bake cake ate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
this week is not going as i had hoped ,week going ha hope,"{'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.6486}",0.6486,Positive
blagh class at 8 tomorrow ,blagh class 8 tomorrow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
I hate when I have to call and wake people up ,hate call wake people,"{'neg': 0.552, 'neu': 0.448, 'pos': 0.0, 'compound': -0.5719}",-0.5719,Negative
Just going to cry myself to sleep after watching Marley and Me.  ,going cry sleep watching marley,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
im sad now  Miss.Lilly,im sa misslilly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,ooooh lol leslie ok wont leslie wont get,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.6124}",0.6124,Positive
Meh... Almost Lover is the exception... this track gets me depressed every time. ,meh almost lover exception track get epresse every time,"{'neg': 0.11, 'neu': 0.593, 'pos': 0.297, 'compound': 0.4951}",0.4951,Positive
some1 hacked my account on aim  now i have to make a new one,some1 hacke account aim make new one,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,want go promote gear groove unfornately rie may b going one anaheim may though,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4404}",0.4404,Positive
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,thought sleeping option tomorrow realizing evaluation morning work afternoon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
@julieebaby awe i love you too!!!! 1 am here  i miss you,awe love 1 miss,"{'neg': 0.235, 'neu': 0.147, 'pos': 0.618, 'compound': 0.5574}",0.5574,Positive
@HumpNinja I cry my asian eyes to sleep at night ,cry asian eye sleep night,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,ok im sick spent hour sitting shower cause sick stan hel back puke like champ,"{'neg': 0.373, 'neu': 0.336, 'pos': 0.291, 'compound': -0.4939}",-0.4939,Negative
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,ill tell ya story later goo ay ill workin like three hour,"{'neg': 0.327, 'neu': 0.526, 'pos': 0.146, 'compound': -0.4767}",-0.4767,Negative
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,sorry time came gmt1,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.0772}",-0.0772,Negative
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,ont either epressing ont think even want know ki suitcase,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0772,Positive
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,class 812 work 123 gym 35 6 class 610 another ay gonna fly miss girlfrien,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,really ont feel like getting toay got stuy tomorrow practical exam,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.4144}",0.4144,Positive
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,reason tearrops guitar one enough break heart,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",sa sa sa ont know hate feeling wanna sleep still cant,"{'neg': 0.261, 'neu': 0.634, 'pos': 0.106, 'compound': -0.4939}",-0.4939,Negative
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,awww soo wish see finally comfortable im sa misse,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.7184}",0.7184,Positive
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,falling asleep hear tracy girl boy foun sa heart break family,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,yay im happy job also mean le time,"{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.7964}",0.7964,Positive
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",checke user timeline blackberry look like twanking still happening ppl still probs w bgs uis,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",0.3612,Positive
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,oh manwas ironing fave top wear meeting burnt,"{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.5719}",0.5719,Positive
